"SA25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"34000","New Jersey",4500635,4571128,4748598,4777145,4791993,4825005,4909617,4991146,5057223,5130158,5123820,4992063,4960621,5018505,5053839,5132846,5206619,5302698,5391181,5470573
"35000","New Mexico",937525,942297,964919,976506,984376,1003002,1027003,1050191,1079132,1103300,1105447,1072062,1059977,1064267,1067211,1075465,1083392,1091873,1092406,1097872
"36000","New York",9901394,10164527,10424526,10438676,10348345,10377811,10513327,10654520,10810191,11082809,11197699,10984350,11005742,11294064,11432840,11619137,11866997,12099838,12259662,12436400
"37000","North Carolina",4708195,4802414,4891957,4855476,4841986,4851933,4961634,5093049,5251538,5430998,5413586,5215744,5178363,5292814,5356443,5437125,5560638,5695713,5829499,5919928
"38000","North Dakota",434930,435651,440643,445433,442537,443699,453086,461645,471138,482505,491898,492417,503813,529779,567388,587398,608318,599278,579244,578334
"39000","Ohio",6599132,6681355,6789300,6725753,6640240,6620830,6666592,6709210,6747271,6794918,6725195,6454964,6418162,6521658,6605931,6680769,6770553,6860104,6928931,6995045
"40000","Oklahoma",1938705,1953349,1994373,2009183,1987464,1971242,1998008,2043018,2095927,2149852,2186554,2136548,2130128,2158874,2211773,2248291,2272582,2286431,2285022,2302152
"41000","Oregon",2021755,2051144,2092153,2079058,2062096,2076533,2132982,2196887,2256424,2307415,2288619,2189148,2174324,2201553,2219899,2259714,2322003,2388647,2447178,2501057
"42000","Pennsylvania",6657699,6764360,6905286,6915464,6887155,6875863,6951840,7053674,7152678,7265045,7278608,7101557,7119776,7217098,7284519,7350854,7437412,7513222,7597336,7685285
"44000","Rhode Island",554761,566528,582589,585235,588132,594108,602399,605736,611123,617985,608905,588284,586363,591692,592978,602429,613264,627005,632532,639149
"45000","South Carolina",2191440,2240690,2279819,2256571,2248041,2263771,2305664,2356291,2418626,2482325,2472423,2367886,2357627,2427409,2453282,2500792,2564432,2636330,2699580,2749060
"46000","South Dakota",490715,501684,512377,511664,509549,509653,518410,527755,538720,551957,561007,556453,558135,566480,574966,581384,589753,593125,598061,602932
"47000","Tennessee",3339584,3397301,3459310,3421028,3408733,3433441,3507914,3572052,3643562,3702452,3677072,3523861,3515804,3589041,3635195,3688630,3770835,3856333,3946960,4003653
"48000","Texas",11541749,11761409,12138771,12284685,12291978,12374891,12588027,13003858,13493427,14008182,14365941,14202794,14262558,14681432,15095912,15529989,15998113,16409479,16674238,16962938
"49000","Utah",1309652,1338175,1380538,1391757,1395322,1405788,1453405,1517566,1592736,1676394,1688150,1633982,1620799,1664426,1706060,1753371,1804152,1866188,1933340,1987836
"50000","Vermont",381006,389726,400963,403836,405652,406050,413089,417100,421004,425032,424270,414181,413312,416949,421809,425029,429328,432827,434040,436750
"51000","Virginia",4167798,4261127,4399151,4417451,4421795,4467387,4587103,4701063,4781825,4869348,4870415,4758119,4743189,4802678,4856886,4898765,4954261,5060884,5143667,5200373
"53000","Washington",3382924,3446900,3526778,3515729,3489250,3516394,3585355,3687899,3798303,3924936,3954911,3815691,3771444,3814305,3909210,3991724,4094679,4199125,4310173,4401372
"54000","West Virginia",868370,868236,875561,872546,871233,868331,879293,890779,902935,915669,918366,899038,899472,909035,918927,913619,909962,901911,887107,888984
"55000","Wisconsin",3287793,3350388,3413585,3403719,3395166,3413403,3467801,3511432,3546975,3585396,3572922,3444622,3426438,3474418,3499405,3539937,3587122,3626124,3660276,3691630
"56000","Wyoming",310043,315198,324653,330130,334123,336763,343755,354378,370329,388476,398969,387473,385059,390303,396704,400402,406188,405762,397914,398199
"91000","New England",8360643,8512502,8739633,8766028,8712200,8696594,8808905,8901095,8997854,9167892,9173266,8935933,8892185,9003399,9112599,9266260,9413468,9657694,9777804,9886800
"92000","Mideast",25170029,25710165,26409297,26495670,26442196,26528689,26904113,27308630,27713122,28251978,28370832,27759001,27763099,28281659,28578752,28989781,29466074,29960906,30374668,30772846
"93000","Great Lakes",25953106,26332508,26830018,26554355,26272457,26219630,26440226,26681985,26874698,27135396,26871751,25773421,25659131,26127720,26416804,26731751,27125029,27533124,27812851,28090806
"94000","Plains",12239692,12410535,12604124,12601236,12519065,12521105,12673709,12862597,13061326,13280494,13298065,12991460,12918121,13099492,13262142,13446202,13619235,13788391,13876475,13984309
"95000","Southeast",38013686,38801665,39694005,39630074,39666968,40061948,41037086,42109692,43150569,44064521,43724980,42223496,42065743,42886195,43433405,44149358,45188940,46284360,47168148,47860841
"96000","Southwest",17034267,17352947,17899573,18099376,18110913,18266256,18654514,19316887,20043704,20726409,21060750,20639897,20634234,21143618,21670433,22224964,22802921,23336462,23698479,24090649
"97000","Rocky Mountain",5620655,5752111,5952793,6006793,6002340,6023298,6166380,6370711,6589192,6847953,6895480,6685768,6634557,6760523,6881972,7054731,7250420,7452755,7639322,7807016
"98000","Far West",26089122,26658867,27241357,27368668,27368961,27603980,28154767,28786803,29438135,30069057,29818776,28627724,28334630,28789094,29623593,30462053,31369713,32304108,33021153,33638933
"Legend / Footnotes:"
"1/ The estimates of employment for 1998-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS."
"Last updated: September 25, 2018—new statistics for 2017; revised statistics for 1998-2016."
