state,period,amount
Hawaii,2017,921881
Idaho,2017,1002052
Illinois,2017,7864869
Indiana,2017,3892885
Iowa,2017,2070488
Kansas,2017,1923407
Kentucky,2017,2520748
Louisiana,2017,2697447
Maine,2017,835702
Maryland,2017,3697398
Massachusetts,2017,4777678
Michigan,2017,5646377
Minnesota,2017,3751766
Mississippi,2017,1590823
Missouri,2017,3738168
Montana,2017,675904
Nebraska,2017,1319214
Nevada,2017,1775729
New Hampshire,2017,883304
New Jersey,2017,5470573
New Mexico,2017,1097872
New York,2017,12436400
North Carolina,2017,5919928
North Dakota,2017,578334
Ohio,2017,6995045
Oklahoma,2017,2302152
Oregon,2017,2501057
Pennsylvania,2017,7685285
Rhode Island,2017,639149
South Carolina,2017,2749060
South Dakota,2017,602932
Tennessee,2017,4003653
Texas,2017,16962938
Utah,2017,1987836
Vermont,2017,436750
Virginia,2017,5200373
Washington,2017,4401372
West Virginia,2017,888984
Wisconsin,2017,3691630
Wyoming,2017,398199
