"SQ1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998:Q1","1998:Q2","1998:Q3","1998:Q4","1999:Q1","1999:Q2","1999:Q3","1999:Q4","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2"
"12000","Florida","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",18781942,18825232,18881664,18948620,19007780,19066144,19131089,19195789,19254464,19311290,19376560,19442891,19498312,19554200,19627372,19710639,19785483,19859233,19949012,20047426,20134897,20222540,20321138,20423300,20515328,20608043,20701133,20787653,20865571,20943033,21029989,21117805,21196290,21274835
"13000","Georgia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9678711,9700566,9726219,9752135,9775291,9798205,9824210,9850526,9874942,9898582,9921733,9941390,9956827,9972661,9995519,10022856,10047081,10071076,10100010,10130998,10157852,10185037,10215119,10245236,10271594,10298931,10329259,10359762,10386916,10414383,10444832,10474536,10501405,10529103
"15000","Hawaii*","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1358219,1362027,1365781,1369617,1373132,1376525,1380290,1384135,1387629,1391009,1394987,1399235,1402873,1406225,1409319,1412049,1414341,1416502,1419025,1421516,1423440,1425276,1426789,1427587,1427995,1428372,1428687,1428641,1428175,1427626,1427586,1427570,1427067,1426509
"16000","Idaho","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1565667,1569262,1572676,1575952,1578691,1581581,1584789,1587867,1590505,1593206,1596908,1601120,1604538,1608170,1612886,1618235,1622991,1627829,1633066,1638145,1642449,1646909,1653409,1661391,1668660,1676119,1684837,1694340,1703270,1712251,1721848,1731482,1740535,1749701
"17000","Illinois","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",12827397,12836170,12845919,12853272,12856273,12859420,12865922,12871714,12874285,12876393,12882579,12888391,12887984,12888497,12890944,12891436,12887369,12883374,12882388,12880102,12871890,12864475,12860735,12856495,12846956,12838626,12833150,12826762,12816058,12805702,12799607,12793077,12781961,12771543
"18000","Indiana","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6480840,6486988,6494172,6501402,6506476,6511958,6518597,6524438,6528722,6533012,6540857,6550126,6556218,6563145,6571357,6578930,6584213,6589824,6596531,6602218,6604876,6608221,6614438,6621420,6625703,6630782,6638806,6647978,6655048,6662354,6671727,6680833,6687688,6694984
"19000","Iowa","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3044937,3048505,3052445,3056280,3058957,3061885,3065408,3068492,3070691,3072970,3076959,3081508,3084383,3087731,3092194,3096703,3100003,3103513,3107792,3111708,3114020,3116736,3120508,3124189,3126475,3129160,3133092,3137288,3140410,3143684,3147990,3152169,3155195,3158463
"20000","Kansas","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2850097,2855725,2860196,2863225,2865202,2867356,2871207,2875722,2879439,2883193,2886868,2889410,2890442,2891815,2894080,2896298,2897415,2898669,2900910,2903084,2903866,2904921,2906492,2907495,2907254,2907356,2908756,2910542,2911363,2912284,2914222,2916015,2916743,2917645
"21000","Kentucky","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4336196,4343590,4351137,4356839,4361127,4365741,4370835,4375124,4378363,4381668,4386383,4391108,4393725,4396929,4400976,4404564,4406590,4408896,4412660,4416465,4418181,4420439,4424412,4428647,4431106,4434145,4438822,4443990,4447763,4451693,4456873,4461832,4465432,4469348
"22000","Louisiana","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4527102,4539132,4549212,4557332,4564028,4570628,4578438,4586102,4592844,4599168,4606568,4613583,4618501,4623634,4630062,4636470,4641332,4646064,4652436,4659084,4663650,4668389,4673745,4678277,4680949,4684093,4686500,4686804,4685498,4684322,4684779,4685102,4683660,4682452
