"SQ1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998:Q1","1998:Q2","1998:Q3","1998:Q4","1999:Q1","1999:Q2","1999:Q3","1999:Q4","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2"
"33000","New Hampshire","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1316571,1316571,1317094,1317683,1317821,1318091,1318795,1319596,1320056,1320566,1321371,1322043,1322080,1322316,1323506,1325259,1326525,1327883,1329092,1329722,1329728,1329894,1330928,1332383,1333276,1334338,1336128,1338292,1339998,1341752,1343924,1346060,1347717,1349472
"34000","New Jersey","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8787041,8797704,8810286,8822051,8830752,8839446,8850559,8861190,8869515,8877406,8887930,8897976,8903634,8909604,8918556,8927703,8933589,8939387,8946958,8953286,8955394,8957872,8963770,8970128,8972714,8975935,8983062,8991419,8996633,9001933,9010526,9019023,9023993,9029246
"35000","New Mexico","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2055739,2061865,2066665,2070411,2073344,2076129,2078846,2080726,2081905,2082907,2084290,2085239,2085125,2084976,2085258,2085315,2084485,2083500,2083582,2083909,2083170,2082441,2083056,2084325,2084665,2085037,2086079,2087155,2087471,2087714,2088754,2089843,2090091,2090319
"36000","New York","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",19368796,19391366,19423588,19457278,19484249,19511043,19541372,19569016,19591616,19613071,19640395,19666866,19683735,19701227,19722561,19741817,19754080,19766043,19783312,19799378,19806237,19813696,19824596,19832582,19832490,19833792,19840579,19847254,19847060,19847075,19853819,19860040,19859115,19858991
"37000","North Carolina","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9522670,9554842,9586822,9610532,9631094,9651686,9675680,9700061,9722154,9743743,9769038,9794774,9815900,9837666,9862397,9887159,9908475,9929733,9955639,9982989,10005783,10029103,10057626,10088155,10114564,10141941,10172556,10203415,10230755,10258336,10289640,10320744,10348050,10375876
"38000","North Dakota","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",671412,673553,675924,678586,681017,683510,686976,691192,695246,699295,704210,709744,714909,720172,724944,729023,732819,736661,740830,745041,748860,752804,755051,755350,755326,755417,755592,755658,755488,755366,755453,755525,755344,755216
"39000","Ohio","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",11536909,11537845,11541656,11544374,11543102,11542441,11545147,11547474,11546956,11546362,11551839,11559507,11561391,11564629,11572443,11581115,11585544,11590370,11597574,11603201,11603174,11604254,11609896,11616162,11617467,11620037,11628501,11639440,11646308,11653553,11664173,11673922,11680151,11687335
"40000","Oklahoma","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3746427,3755509,3763382,3770382,3776086,3781926,3789499,3797513,3804535,3811518,3820397,3829861,3837484,3845386,3853445,3860538,3866161,3871849,3879490,3887686,3894031,3900663,3907076,3911947,3915218,3918950,3922897,3925937,3927642,3929458,3932652,3935700,3937290,3939083
"41000","Oregon","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3827855,3834006,3841355,3849166,3855511,3862115,3869871,3877433,3883846,3890348,3897968,3905296,3910567,3916275,3925312,3936359,3945837,3955496,3968494,3983375,3996224,4009477,4025890,4044016,4060367,4077163,4093639,4108511,4121911,4135484,4150542,4165509,4178938,4192671
"42000","Pennsylvania","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",12698487,12706771,12717312,12727304,12732548,12738453,12747648,12755681,12760239,12764696,12772059,12777530,12776221,12776439,12781600,12787116,12787723,12788723,12793165,12796327,12792943,12790742,12792762,12794255,12790036,12787119,12791147,12797978,12800117,12802633,12809942,12816937,12818692,12821121
"44000","Rhode Island","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1053197,1053046,1053238,1053145,1052666,1052246,1052364,1052667,1052663,1052670,1052967,1053210,1052878,1052714,1053151,1053847,1054163,1054520,1055135,1055639,1055644,1055739,1056278,1056876,1057031,1057316,1057944,1058632,1058961,1059324,1060043,1060731,1061028,1061383
"45000","South Carolina","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4620103,4630557,4641203,4651221,4659743,4668118,4679118,4691361,4702522,4713282,4725811,4738598,4749141,4759875,4773815,4789539,4803555,4817464,4834167,4852212,4868028,4883980,4901607,4919405,4935139,4951248,4968553,4985603,5000838,5016114,5033484,5051036,5066381,5081823
"46000","South Dakota","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",813120,815208,817238,819133,820737,822416,824578,826998,829192,831403,833979,836637,838874,841223,843465,845354,846961,848564,850197,851532,852436,853446,855104,857133,858808,860565,862644,864822,866694,868611,870797,872990,874847,876777
"47000","Tennessee","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6340438,6351012,6361902,6372931,6381873,6391035,6403803,6418166,6431039,6443762,6456871,6468257,6476525,6485480,6497676,6511208,6522422,6533788,6547569,6561666,6572688,6584268,6599018,6614850,6627950,6641779,6658508,6676227,6691666,6707321,6725164,6742791,6758112,6773876
"48000","Texas","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",25092315,25193421,25296095,25401552,25498461,25594129,25702265,25814843,25920659,26024350,26133842,26240296,26334627,26429039,26541872,26666012,26781044,26895153,27022074,27153047,27272519,27392461,27515260,27632748,27739416,27848011,27958253,28062214,28157570,28253506,28359039,28464101,28559854,28656966
"49000","Utah","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2757540,2769524,2780617,2790919,2800419,2810222,2820539,2830496,2839817,2849262,2860422,2872373,2883070,2894089,2905025,2915153,2924326,2933721,2944920,2957007,2967833,2979018,2992696,3007915,3022093,3036728,3051753,3066477,3080383,3094450,3109213,3123769,3137733,3152042
"50000","Vermont","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",625667,625795,625977,626160,626128,626145,626198,626110,625887,625670,625769,625990,625934,625940,626052,626065,625863,625699,625620,625435,624979,624581,624400,624223,623810,623456,623446,623611,623589,623589,623770,623936,623887,623882
"51000","Virginia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7989604,8013010,8036698,8058526,8077782,8097110,8118613,8139903,8159362,8178474,8199314,8219330,8235546,8252304,8269446,8284762,8297334,8309941,8324638,8338859,8349419,8360467,8373868,8387166,8397217,8408105,8422310,8437522,8449976,8462656,8478088,8493235,8505486,8518190
"53000","Washington","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6715969,6732840,6752179,6772568,6790678,6809164,6828957,6847724,6864711,6881786,6901329,6920968,6937224,6954090,6974627,6996836,7016466,7036366,7061543,7089533,7114186,7139441,7169920,7203150,7233510,7264642,7297420,7329728,7359619,7389774,7422450,7454960,7485078,7515697
"54000","West Virginia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1852366,1853639,1854690,1855126,1854846,1854744,1855171,1855541,1855375,1855264,1855347,1854995,1853638,1852586,1851965,1851152,1849601,1848177,1847016,1845479,1842938,1840685,1838660,1836227,1832969,1829946,1827269,1824388,1820836,1817366,1814528,1811661,1808070,1804612
"55000","Wisconsin","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5685022,5688768,5693230,5697866,5700508,5703639,5708375,5712841,5715849,5718995,5724129,5729203,5731356,5734354,5739129,5743823,5746379,5749283,5753428,5756738,5757259,5758462,5762237,5766527,5768369,5770946,5776387,5782911,5787447,5792309,5799019,5805434,5809764,5814604
"56000","Wyoming","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",563189,564076,564864,565734,566430,567179,568779,571101,573273,575476,577431,578986,580249,581599,582524,582880,583017,583195,583791,584603,585135,585742,586035,585831,585402,585042,584278,582967,581466,579985,578729,577491,576001,574529
"91000","New England","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",14440341,14456733,14478332,14495616,14507750,14520760,14537481,14553302,14565296,14577423,14594829,14612463,14622800,14634890,14651265,14667242,14677916,14689224,14702689,14713300,14716908,14721959,14732252,14742703,14747041,14753012,14765847,14781258,14791672,14802670,14818423,14833492,14843368,14854319
"92000","Mideast","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",48118954,48178968,48254966,48331349,48390812,48450456,48520948,48586468,48639570,48690288,48753986,48813572,48848973,48887024,48938729,48988650,49020897,49052817,49097179,49137352,49154226,49173326,49205226,49233535,49241262,49252872,49283382,49318186,49335517,49353631,49389317,49423907,49439699,49457564
"93000","Great Lakes","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",46418476,46430072,46453197,46476531,46484012,46493467,46516730,46539033,46549819,46560005,46589532,46622653,46632793,46647811,46676221,46703485,46713847,46725546,46746968,46762419,46755652,46752976,46768900,46787826,46787163,46791533,46815150,46844282,46857452,46872153,46901894,46929549,46940958,46955449
"94000","Plains","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",20489775,20520586,20551906,20580537,20601861,20624748,20654801,20685065,20709904,20735102,20768992,20804233,20828785,20856139,20889121,20920993,20945043,20970260,21001091,21030037,21048625,21069675,21097879,21125840,21144788,21166365,21196254,21228181,21252928,21278598,21311455,21343698,21367980,21393685
"95000","Southeast","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",78306331,78482494,78673570,78858337,79016130,79173415,79356915,79541802,79707198,79867499,80049078,80225266,80362240,80503905,80685318,80881926,81049170,81215210,81420917,81639999,81820308,82004371,82221379,82445069,82633695,82829264,83044078,83253650,83433362,83614268,83825775,84036308,84215409,84398091
"96000","Southwest","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37279491,37410326,37541658,37673720,37792728,37910364,38046969,38190250,38323103,38453230,38593236,38729764,38847861,38966461,39108970,39264389,39405681,39545774,39705100,39870275,40017637,40165935,40322185,40473887,40609179,40747275,40890358,41026639,41149674,41273308,41411682,41549746,41673228,41798353
"97000","Rocky Mountain","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",10895556,10931395,10967000,11001002,11031444,11062696,11097684,11132959,11165421,11198095,11236390,11276555,11311390,11347484,11386587,11425514,11460410,11495894,11538548,11584483,11625120,11666967,11714343,11763409,11807908,11853870,11901472,11947555,11989971,12032876,12079395,12125483,12168092,12211674
"98000","Far West","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",52519566,52633137,52756648,52888594,53002734,53115228,53246697,53380928,53500719,53617394,53751482,53885431,53993894,54101822,54234939,54379526,54504945,54628856,54775112,54926246,55053046,55180564,55323245,55464474,55584188,55706819,55839791,55968069,56078535,56189171,56317537,56444264,56553628,56665183
"Legend / Footnotes:"
"1/ Midquarter population estimates by state are derived by BEA based on unpublished Census Bureau estimates of beginning-of-month population. Quarterly estimates for 2010-2018 reflect unpublished monthly population estimates available as of February 2018."
"* Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note-- Thousands of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation)."
"(NA) Not available."
"Last updated: September 25, 2018-- new estimates for 2018:Q2; revised estimates for 1998:Q1-2018:Q1."
