"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
""
"Fips","Area","IndCode","Industry","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1"
"00000","United States","51","      Finance and insurance",954946,979744,1007397,1025289,1046555,1040676,1045043,1063079,1082867,1055692,1037394,986133,1010799,953139,889702,775263,909720,980602,990228,996468,995725,1008039,996196,1023366,1029270,1020119,1046999,1055718,1107933,1132746,1162030,1168026,1088400,1116483,1140340,1200433,1205553,1247391,1264687,1290336,1344911,1390679,1351251,1340521,1329065,1382283,1434311,1474051,1437311,1418643,1478916,1481078,1506756
"00000","United States","56","      Real estate and rental and leasing",1622049,1644481,1663365,1666954,1676171,1699742,1732717,1778857,1797317,1812910,1848807,1887310,1886395,1895531,1897310,1909933,1914623,1902377,1903757,1898354,1919287,1942603,1947982,1973012,1961220,2003067,2024485,2068841,2062848,2081344,2101894,2099118,2127499,2130391,2173231,2198455,2206160,2238522,2277580,2291396,2320798,2339929,2373376,2395684,2435739,2466371,2486991,2526208,2550798,2584162,2613383,2647153,2678901
"00000","United States","60","      Professional, scientific, and technical services",826866,834990,848146,861270,889036,896638,905693,923571,935092,947320,978901,1007955,1028878,1052258,1068651,1063558,1024989,999642,991014,985804,997818,1010866,1032424,1046937,1052980,1072302,1082117,1088885,1113214,1127264,1126586,1147980,1125269,1139670,1157246,1170957,1173934,1189549,1226065,1238200,1265239,1276868,1289680,1298510,1309981,1321992,1332319,1340720,1351395,1369898,1381769,1396381,1408788
"00000","United States","64","      Management of companies and enterprises",213683,216267,222485,224944,233332,237736,238102,244795,257207,257875,260362,262711,259054,260899,263623,262489,239603,245488,250776,252676,260127,264259,269780,278655,281194,281589,279664,281731,293832,295678,305067,322548,310367,322260,326967,330070,332110,329892,339421,346589,353785,352513,351976,356852,350880,360213,361676,359520,364818,369195,372364,377809,380768
"00000","United States","65","      Administrative and support and waste management and remediation services",370319,379133,383980,388762,395786,396374,398518,406760,414924,425450,436548,444529,438943,438858,439124,436020,418504,411009,409015,416015,427188,436229,443994,450621,450450,455285,460538,463791,476085,477763,481647,482707,486531,490222,498328,503459,508958,518275,527248,533672,536966,541398,547413,556511,557664,564104,571656,575990,586960,602463,610847,617603,621705
"00000","United States","69","      Educational services",118840,120306,121946,122907,127202,129158,130722,132557,135539,137107,139533,142500,144860,147262,151091,153928,161084,162598,163422,164859,166823,168824,170341,171097,173675,174878,176585,176718,181588,182720,183328,184479,182885,184891,186279,188368,190148,190702,191866,193492,195953,197786,199928,202380,203702,205762,207652,208253,210675,210624,213463,214788,216637
"00000","United States","70","      Health care and social assistance",812908,822367,835349,844894,867698,880325,885894,898090,905736,917121,932288,948531,970416,985766,1003111,1024799,1035587,1048725,1053877,1065980,1061161,1074584,1087099,1093909,1095671,1108265,1117541,1124837,1144608,1148008,1155008,1167508,1182059,1182816,1188781,1193540,1200151,1211498,1233208,1245779,1259462,1273789,1293643,1319476,1323067,1348672,1360436,1365015,1384443,1403459,1424306,1438260,1453830
"00000","United States","75","      Arts, entertainment, and recreation",118807,121322,123884,125032,128442,129923,129950,132801,135701,136772,138742,139338,138821,139492,140126,142095,139247,137912,139272,138939,141274,144058,145098,147353,146083,147471,149890,146483,153790,155853,157796,160571,161724,162491,164557,167873,171391,174024,177382,177581,177717,179428,180281,183203,187658,189339,194531,196115,196726,201458,203876,202781,202138
"00000","United States","78","      Accommodation and food services",352691,356527,361695,365124,375212,378396,379857,385316,389988,392238,396175,399468,395246,395747,396533,392194,383197,382516,383593,384541,387320,394603,399866,403110,405407,411954,415961,422272,434371,437977,440487,446701,456446,458844,465035,470137,474393,486441,498590,505680,515501,524916,533890,544062,549535,555552,563510,568352,572824,580725,585415,591878,599071
"00000","United States","81","      Other services (except government and government enterprises)",306755,309764,313738,316625,321680,325890,326529,328765,330463,329991,331311,330343,329213,329184,330839,334137,330356,329678,328376,329630,326597,330885,335361,336778,334637,337446,340118,343368,349954,354613,357723,359172,360947,361216,363390,368327,371909,379930,389095,391924,394280,399291,402110,406531,410707,413024,418360,420628,424436,430206,435974,443237,442159
"00000","United States","82","  Government and government enterprises",1627589,1640178,1656799,1670892,1699795,1717084,1737222,1757019,1791026,1807636,1828423,1847961,1880634,1899566,1922342,1939136,1950170,1964425,1972077,1981870,2011021,2037599,2040768,2043671,2048675,2059928,2063134,2058515,2076605,2079611,2085366,2093210,2099835,2104568,2107081,2121608,2140062,2153680,2170087,2186917,2203151,2222306,2238977,2259292,2266559,2281772,2294722,2298358,2320410,2331060,2344000,2354187,2369467
"Legend / Footnotes:"
"Note-- For Levels: millions of dollars, seasonally adjusted at annual rates; for annualized percent change and compound growth rate: seasonally adjusted at annual rates. NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS)."
"Last updated: July 24, 2018 -- new statistics for 2018:Q1."
