industry,period,amount
      Manufacturing,2011:Q4,1951132
          Durable goods manufacturing,2011:Q4,1033105
          Nondurable goods manufacturing,2011:Q4,918027
      Wholesale trade,2011:Q4,931402
      Retail trade,2011:Q4,909243
      Transportation and warehousing,2011:Q4,455782
      Information,2011:Q4,731378
      Finance and insurance,2011:Q4,1055718
      Real estate and rental and leasing,2011:Q4,2068841
"      Professional, scientific, and technical services",2011:Q4,1088885
      Management of companies and enterprises,2011:Q4,281731
      Administrative and support and waste management and remediation services,2011:Q4,463791
      Educational services,2011:Q4,176718
      Health care and social assistance,2011:Q4,1124837
"      Arts, entertainment, and recreation",2011:Q4,146483
      Accommodation and food services,2011:Q4,422272
      Other services (except government and government enterprises),2011:Q4,343368
  Government and government enterprises,2011:Q4,2058515
All industry total,2012:Q1,15860001
  Private industries,2012:Q1,13783396
"      Agriculture, forestry, fishing, and hunting",2012:Q1,188993
"      Mining, quarrying, and oil and gas extraction",2012:Q1,417973
      Utilities,2012:Q1,256200
      Construction,2012:Q1,575309
      Manufacturing,2012:Q1,1965656
          Durable goods manufacturing,2012:Q1,1039832
          Nondurable goods manufacturing,2012:Q1,925824
      Wholesale trade,2012:Q1,946058
      Retail trade,2012:Q1,925201
      Transportation and warehousing,2012:Q1,460541
      Information,2012:Q1,729242
      Finance and insurance,2012:Q1,1107933
      Real estate and rental and leasing,2012:Q1,2062848
"      Professional, scientific, and technical services",2012:Q1,1113214
      Management of companies and enterprises,2012:Q1,293832
      Administrative and support and waste management and remediation services,2012:Q1,476085
      Educational services,2012:Q1,181588
      Health care and social assistance,2012:Q1,1144608
"      Arts, entertainment, and recreation",2012:Q1,153790
      Accommodation and food services,2012:Q1,434371
      Other services (except government and government enterprises),2012:Q1,349954
  Government and government enterprises,2012:Q1,2076605
All industry total,2012:Q2,16008016
  Private industries,2012:Q2,13928405
"      Agriculture, forestry, fishing, and hunting",2012:Q2,184405
"      Mining, quarrying, and oil and gas extraction",2012:Q2,403496
      Utilities,2012:Q2,265011
      Construction,2012:Q2,582456
      Manufacturing,2012:Q2,1991351
          Durable goods manufacturing,2012:Q2,1059254
          Nondurable goods manufacturing,2012:Q2,932097
      Wholesale trade,2012:Q2,957977
      Retail trade,2012:Q2,930234
      Transportation and warehousing,2012:Q2,470758
      Information,2012:Q2,748749
      Finance and insurance,2012:Q2,1132746
      Real estate and rental and leasing,2012:Q2,2081344
"      Professional, scientific, and technical services",2012:Q2,1127264
      Management of companies and enterprises,2012:Q2,295678
      Administrative and support and waste management and remediation services,2012:Q2,477763
      Educational services,2012:Q2,182720
      Health care and social assistance,2012:Q2,1148008
"      Arts, entertainment, and recreation",2012:Q2,155853
      Accommodation and food services,2012:Q2,437977
      Other services (except government and government enterprises),2012:Q2,354613
  Government and government enterprises,2012:Q2,2079611
All industry total,2012:Q3,16113941
  Private industries,2012:Q3,14028574
"      Agriculture, forestry, fishing, and hunting",2012:Q3,180226
"      Mining, quarrying, and oil and gas extraction",2012:Q3,403861
      Utilities,2012:Q3,266532
      Construction,2012:Q3,584576
      Manufacturing,2012:Q3,2002608
          Durable goods manufacturing,2012:Q3,1058090
          Nondurable goods manufacturing,2012:Q3,944518
      Wholesale trade,2012:Q3,969546
      Retail trade,2012:Q3,936235
      Transportation and warehousing,2012:Q3,470404
      Information,2012:Q3,743019
      Finance and insurance,2012:Q3,1162030
      Real estate and rental and leasing,2012:Q3,2101894
"      Professional, scientific, and technical services",2012:Q3,1126586
      Management of companies and enterprises,2012:Q3,305067
      Administrative and support and waste management and remediation services,2012:Q3,481647
      Educational services,2012:Q3,183328
      Health care and social assistance,2012:Q3,1155008
"      Arts, entertainment, and recreation",2012:Q3,157796
      Accommodation and food services,2012:Q3,440487
      Other services (except government and government enterprises),2012:Q3,357723
  Government and government enterprises,2012:Q3,2085366
All industry total,2012:Q4,16183016
  Private industries,2012:Q4,14089806
"      Agriculture, forestry, fishing, and hunting",2012:Q4,189574
"      Mining, quarrying, and oil and gas extraction",2012:Q4,418433
      Utilities,2012:Q4,263666
      Construction,2012:Q4,592244
      Manufacturing,2012:Q4,1974955
          Durable goods manufacturing,2012:Q4,1055954
          Nondurable goods manufacturing,2012:Q4,919000
      Wholesale trade,2012:Q4,976520
      Retail trade,2012:Q4,938800
      Transportation and warehousing,2012:Q4,467930
      Information,2012:Q4,728874
      Finance and insurance,2012:Q4,1168026
      Real estate and rental and leasing,2012:Q4,2099118
"      Professional, scientific, and technical services",2012:Q4,1147980
      Management of companies and enterprises,2012:Q4,322548
      Administrative and support and waste management and remediation services,2012:Q4,482707
      Educational services,2012:Q4,184479
      Health care and social assistance,2012:Q4,1167508
"      Arts, entertainment, and recreation",2012:Q4,160571
      Accommodation and food services,2012:Q4,446701
      Other services (except government and government enterprises),2012:Q4,359172
  Government and government enterprises,2012:Q4,2093210
All industry total,2013:Q1,16360908
  Private industries,2013:Q1,14261073
"      Agriculture, forestry, fishing, and hunting",2013:Q1,230408
"      Mining, quarrying, and oil and gas extraction",2013:Q1,430872
      Utilities,2013:Q1,271422
      Construction,2013:Q1,605388
      Manufacturing,2013:Q1,2028157
          Durable goods manufacturing,2013:Q1,1076039
          Nondurable goods manufacturing,2013:Q1,952119
      Wholesale trade,2013:Q1,984906
      Retail trade,2013:Q1,963424
      Transportation and warehousing,2013:Q1,481754
      Information,2013:Q1,782615
      Finance and insurance,2013:Q1,1088400
      Real estate and rental and leasing,2013:Q1,2127499
"      Professional, scientific, and technical services",2013:Q1,1125269
      Management of companies and enterprises,2013:Q1,310367
      Administrative and support and waste management and remediation services,2013:Q1,486531
      Educational services,2013:Q1,182885
      Health care and social assistance,2013:Q1,1182059
"      Arts, entertainment, and recreation",2013:Q1,161724
      Accommodation and food services,2013:Q1,456446
      Other services (except government and government enterprises),2013:Q1,360947
  Government and government enterprises,2013:Q1,2099835
All industry total,2013:Q2,16426749
  Private industries,2013:Q2,14322181
"      Agriculture, forestry, fishing, and hunting",2013:Q2,226443
"      Mining, quarrying, and oil and gas extraction",2013:Q2,446742
      Utilities,2013:Q2,269471
      Construction,2013:Q2,611214
      Manufacturing,2013:Q2,2003840
          Durable goods manufacturing,2013:Q2,1073811
          Nondurable goods manufacturing,2013:Q2,930029
      Wholesale trade,2013:Q2,987875
      Retail trade,2013:Q2,959679
      Transportation and warehousing,2013:Q2,480553
      Information,2013:Q2,787079
      Finance and insurance,2013:Q2,1116483
      Real estate and rental and leasing,2013:Q2,2130391
"      Professional, scientific, and technical services",2013:Q2,1139670
      Management of companies and enterprises,2013:Q2,322260
      Administrative and support and waste management and remediation services,2013:Q2,490222
      Educational services,2013:Q2,184891
      Health care and social assistance,2013:Q2,1182816
"      Arts, entertainment, and recreation",2013:Q2,162491
      Accommodation and food services,2013:Q2,458844
      Other services (except government and government enterprises),2013:Q2,361216
  Government and government enterprises,2013:Q2,2104568
All industry total,2013:Q3,16634711
  Private industries,2013:Q3,14527630
"      Agriculture, forestry, fishing, and hunting",2013:Q3,225678
"      Mining, quarrying, and oil and gas extraction",2013:Q3,468290
      Utilities,2013:Q3,265204
      Construction,2013:Q3,626637
      Manufacturing,2013:Q3,2024396
          Durable goods manufacturing,2013:Q3,1088740
          Nondurable goods manufacturing,2013:Q3,935656
      Wholesale trade,2013:Q3,1008416
      Retail trade,2013:Q3,972139
      Transportation and warehousing,2013:Q3,485976
      Information,2013:Q3,786740
      Finance and insurance,2013:Q3,1140340
      Real estate and rental and leasing,2013:Q3,2173231
"      Professional, scientific, and technical services",2013:Q3,1157246
      Management of companies and enterprises,2013:Q3,326967
      Administrative and support and waste management and remediation services,2013:Q3,498328
      Educational services,2013:Q3,186279
      Health care and social assistance,2013:Q3,1188781
"      Arts, entertainment, and recreation",2013:Q3,164557
      Accommodation and food services,2013:Q3,465035
      Other services (except government and government enterprises),2013:Q3,363390
  Government and government enterprises,2013:Q3,2107081
All industry total,2013:Q4,16884585
  Private industries,2013:Q4,14762978
"      Agriculture, forestry, fishing, and hunting",2013:Q4,204755
"      Mining, quarrying, and oil and gas extraction",2013:Q4,457568
      Utilities,2013:Q4,270558
      Construction,2013:Q4,639880
      Manufacturing,2013:Q4,2084313
          Durable goods manufacturing,2013:Q4,1105434
          Nondurable goods manufacturing,2013:Q4,978880
      Wholesale trade,2013:Q4,1025224
      Retail trade,2013:Q4,979064
      Transportation and warehousing,2013:Q4,500445
      Information,2013:Q4,809550
      Finance and insurance,2013:Q4,1200433
      Real estate and rental and leasing,2013:Q4,2198455
"      Professional, scientific, and technical services",2013:Q4,1170957
      Management of companies and enterprises,2013:Q4,330070
      Administrative and support and waste management and remediation services,2013:Q4,503459
      Educational services,2013:Q4,188368
      Health care and social assistance,2013:Q4,1193540
"      Arts, entertainment, and recreation",2013:Q4,167873
      Accommodation and food services,2013:Q4,470137
      Other services (except government and government enterprises),2013:Q4,368327
  Government and government enterprises,2013:Q4,2121608
All industry total,2014:Q1,16915697
  Private industries,2014:Q1,14775634
"      Agriculture, forestry, fishing, and hunting",2014:Q1,200215
"      Mining, quarrying, and oil and gas extraction",2014:Q1,471041
      Utilities,2014:Q1,283248
      Construction,2014:Q1,653534
      Manufacturing,2014:Q1,2056064
          Durable goods manufacturing,2014:Q1,1096694
          Nondurable goods manufacturing,2014:Q1,959369
      Wholesale trade,2014:Q1,1020200
      Retail trade,2014:Q1,975857
      Transportation and warehousing,2014:Q1,494369
      Information,2014:Q1,786400
      Finance and insurance,2014:Q1,1205553
      Real estate and rental and leasing,2014:Q1,2206160
"      Professional, scientific, and technical services",2014:Q1,1173934
      Management of companies and enterprises,2014:Q1,332110
      Administrative and support and waste management and remediation services,2014:Q1,508958
      Educational services,2014:Q1,190148
      Health care and social assistance,2014:Q1,1200151
"      Arts, entertainment, and recreation",2014:Q1,171391
      Accommodation and food services,2014:Q1,474393
      Other services (except government and government enterprises),2014:Q1,371909
  Government and government enterprises,2014:Q1,2140062
All industry total,2014:Q2,17205444
  Private industries,2014:Q2,15051764
"      Agriculture, forestry, fishing, and hunting",2014:Q2,215163
"      Mining, quarrying, and oil and gas extraction",2014:Q2,494104
      Utilities,2014:Q2,277490
      Construction,2014:Q2,665699
      Manufacturing,2014:Q2,2098598
          Durable goods manufacturing,2014:Q2,1114315
          Nondurable goods manufacturing,2014:Q2,984283
      Wholesale trade,2014:Q2,1042626
      Retail trade,2014:Q2,995088
      Transportation and warehousing,2014:Q2,509535
      Information,2014:Q2,787236
      Finance and insurance,2014:Q2,1247391
      Real estate and rental and leasing,2014:Q2,2238522
"      Professional, scientific, and technical services",2014:Q2,1189549
      Management of companies and enterprises,2014:Q2,329892
      Administrative and support and waste management and remediation services,2014:Q2,518275
      Educational services,2014:Q2,190702
      Health care and social assistance,2014:Q2,1211498
"      Arts, entertainment, and recreation",2014:Q2,174024
      Accommodation and food services,2014:Q2,486441
      Other services (except government and government enterprises),2014:Q2,379930
  Government and government enterprises,2014:Q2,2153680
All industry total,2014:Q3,17506998
  Private industries,2014:Q3,15336910
"      Agriculture, forestry, fishing, and hunting",2014:Q3,199622
"      Mining, quarrying, and oil and gas extraction",2014:Q3,498677
      Utilities,2014:Q3,280637
      Construction,2014:Q3,680551
      Manufacturing,2014:Q3,2149520
          Durable goods manufacturing,2014:Q3,1148164
          Nondurable goods manufacturing,2014:Q3,1001356
      Wholesale trade,2014:Q3,1072936
      Retail trade,2014:Q3,1013426
      Transportation and warehousing,2014:Q3,522808
      Information,2014:Q3,793592
      Finance and insurance,2014:Q3,1264687
      Real estate and rental and leasing,2014:Q3,2277580
"      Professional, scientific, and technical services",2014:Q3,1226065
      Management of companies and enterprises,2014:Q3,339421
      Administrative and support and waste management and remediation services,2014:Q3,527248
      Educational services,2014:Q3,191866
      Health care and social assistance,2014:Q3,1233208
"      Arts, entertainment, and recreation",2014:Q3,177382
      Accommodation and food services,2014:Q3,498590
      Other services (except government and government enterprises),2014:Q3,389095
  Government and government enterprises,2014:Q3,2170087
All industry total,2014:Q4,17621095
  Private industries,2014:Q4,15434178
"      Agriculture, forestry, fishing, and hunting",2014:Q4,202614
"      Mining, quarrying, and oil and gas extraction",2014:Q4,458533
      Utilities,2014:Q4,280942
      Construction,2014:Q4,697930
      Manufacturing,2014:Q4,2141808
          Durable goods manufacturing,2014:Q4,1150705
          Nondurable goods manufacturing,2014:Q4,991103
      Wholesale trade,2014:Q4,1082289
      Retail trade,2014:Q4,1026694
      Transportation and warehousing,2014:Q4,529454
      Information,2014:Q4,799264
      Finance and insurance,2014:Q4,1290336
      Real estate and rental and leasing,2014:Q4,2291396
"      Professional, scientific, and technical services",2014:Q4,1238200
      Management of companies and enterprises,2014:Q4,346589
      Administrative and support and waste management and remediation services,2014:Q4,533672
      Educational services,2014:Q4,193492
      Health care and social assistance,2014:Q4,1245779
"      Arts, entertainment, and recreation",2014:Q4,177581
      Accommodation and food services,2014:Q4,505680
      Other services (except government and government enterprises),2014:Q4,391924
  Government and government enterprises,2014:Q4,2186917
All industry total,2015:Q1,17760558
  Private industries,2015:Q1,15557407
"      Agriculture, forestry, fishing, and hunting",2015:Q1,180972
"      Mining, quarrying, and oil and gas extraction",2015:Q1,355888
      Utilities,2015:Q1,284238
      Construction,2015:Q1,710146
      Manufacturing,2015:Q1,2166533
          Durable goods manufacturing,2015:Q1,1166196
          Nondurable goods manufacturing,2015:Q1,1000338
      Wholesale trade,2015:Q1,1091336
      Retail trade,2015:Q1,1033912
      Transportation and warehousing,2015:Q1,538635
      Information,2015:Q1,831131
      Finance and insurance,2015:Q1,1344911
      Real estate and rental and leasing,2015:Q1,2320798
"      Professional, scientific, and technical services",2015:Q1,1265239
      Management of companies and enterprises,2015:Q1,353785
      Administrative and support and waste management and remediation services,2015:Q1,536966
      Educational services,2015:Q1,195953
      Health care and social assistance,2015:Q1,1259462
"      Arts, entertainment, and recreation",2015:Q1,177717
      Accommodation and food services,2015:Q1,515501
      Other services (except government and government enterprises),2015:Q1,394280
  Government and government enterprises,2015:Q1,2203151
All industry total,2015:Q2,17979521
  Private industries,2015:Q2,15757215
"      Agriculture, forestry, fishing, and hunting",2015:Q2,183317
"      Mining, quarrying, and oil and gas extraction",2015:Q2,358876
      Utilities,2015:Q2,280982
      Construction,2015:Q2,733645
      Manufacturing,2015:Q2,2179869
          Durable goods manufacturing,2015:Q2,1168636
          Nondurable goods manufacturing,2015:Q2,1011233
      Wholesale trade,2015:Q2,1100274
      Retail trade,2015:Q2,1049676
      Transportation and warehousing,2015:Q2,541901
      Information,2015:Q2,852077
      Finance and insurance,2015:Q2,1390679
      Real estate and rental and leasing,2015:Q2,2339929
"      Professional, scientific, and technical services",2015:Q2,1276868
      Management of companies and enterprises,2015:Q2,352513
      Administrative and support and waste management and remediation services,2015:Q2,541398
      Educational services,2015:Q2,197786
      Health care and social assistance,2015:Q2,1273789
"      Arts, entertainment, and recreation",2015:Q2,179428
      Accommodation and food services,2015:Q2,524916
      Other services (except government and government enterprises),2015:Q2,399291
  Government and government enterprises,2015:Q2,2222306
All industry total,2015:Q3,18114487
  Private industries,2015:Q3,15875511
"      Agriculture, forestry, fishing, and hunting",2015:Q3,192576
"      Mining, quarrying, and oil and gas extraction",2015:Q3,319596
      Utilities,2015:Q3,287131
      Construction,2015:Q3,753246
      Manufacturing,2015:Q3,2207315
          Durable goods manufacturing,2015:Q3,1173400
          Nondurable goods manufacturing,2015:Q3,1033915
      Wholesale trade,2015:Q3,1098476
      Retail trade,2015:Q3,1070008
      Transportation and warehousing,2015:Q3,550304
      Information,2015:Q3,873310
      Finance and insurance,2015:Q3,1351251
      Real estate and rental and leasing,2015:Q3,2373376
"      Professional, scientific, and technical services",2015:Q3,1289680
      Management of companies and enterprises,2015:Q3,351976
      Administrative and support and waste management and remediation services,2015:Q3,547413
      Educational services,2015:Q3,199928
      Health care and social assistance,2015:Q3,1293643
"      Arts, entertainment, and recreation",2015:Q3,180281
      Accommodation and food services,2015:Q3,533890
      Other services (except government and government enterprises),2015:Q3,402110
  Government and government enterprises,2015:Q3,2238977
All industry total,2015:Q4,18174262
  Private industries,2015:Q4,15914970
"      Agriculture, forestry, fishing, and hunting",2015:Q4,182296
"      Mining, quarrying, and oil and gas extraction",2015:Q4,276162
      Utilities,2015:Q4,279281
      Construction,2015:Q4,762617
      Manufacturing,2015:Q4,2186218
          Durable goods manufacturing,2015:Q4,1180105
          Nondurable goods manufacturing,2015:Q4,1006113
      Wholesale trade,2015:Q4,1101325
      Retail trade,2015:Q4,1077718
      Transportation and warehousing,2015:Q4,554116
      Information,2015:Q4,891506
      Finance and insurance,2015:Q4,1340521
      Real estate and rental and leasing,2015:Q4,2395684
"      Professional, scientific, and technical services",2015:Q4,1298510
      Management of companies and enterprises,2015:Q4,356852
      Administrative and support and waste management and remediation services,2015:Q4,556511
      Educational services,2015:Q4,202380
      Health care and social assistance,2015:Q4,1319476
"      Arts, entertainment, and recreation",2015:Q4,183203
      Accommodation and food services,2015:Q4,544062
      Other services (except government and government enterprises),2015:Q4,406531
  Government and government enterprises,2015:Q4,2259292
All industry total,2016:Q1,18213023
  Private industries,2016:Q1,15946465
"      Agriculture, forestry, fishing, and hunting",2016:Q1,180484
"      Mining, quarrying, and oil and gas extraction",2016:Q1,234551
      Utilities,2016:Q1,281901
      Construction,2016:Q1,783722
      Manufacturing,2016:Q1,2166369
          Durable goods manufacturing,2016:Q1,1168178
          Nondurable goods manufacturing,2016:Q1,998191
      Wholesale trade,2016:Q1,1094634
      Retail trade,2016:Q1,1086177
      Transportation and warehousing,2016:Q1,557036
      Information,2016:Q1,903590
      Finance and insurance,2016:Q1,1329065
      Real estate and rental and leasing,2016:Q1,2435739
"      Professional, scientific, and technical services",2016:Q1,1309981
      Management of companies and enterprises,2016:Q1,350880
      Administrative and support and waste management and remediation services,2016:Q1,557664
      Educational services,2016:Q1,203702
      Health care and social assistance,2016:Q1,1323067
"      Arts, entertainment, and recreation",2016:Q1,187658
      Accommodation and food services,2016:Q1,549535
      Other services (except government and government enterprises),2016:Q1,410707
  Government and government enterprises,2016:Q1,2266559
All industry total,2016:Q2,18425046
  Private industries,2016:Q2,16143274
"      Agriculture, forestry, fishing, and hunting",2016:Q2,182065
"      Mining, quarrying, and oil and gas extraction",2016:Q2,254650
      Utilities,2016:Q2,282576
      Construction,2016:Q2,785707
      Manufacturing,2016:Q2,2183557
          Durable goods manufacturing,2016:Q2,1174634
          Nondurable goods manufacturing,2016:Q2,1008923
      Wholesale trade,2016:Q2,1097557
      Retail trade,2016:Q2,1094315
      Transportation and warehousing,2016:Q2,559816
      Information,2016:Q2,895718
      Finance and insurance,2016:Q2,1382283
      Real estate and rental and leasing,2016:Q2,2466371
"      Professional, scientific, and technical services",2016:Q2,1321992
      Management of companies and enterprises,2016:Q2,360213
      Administrative and support and waste management and remediation services,2016:Q2,564104
      Educational services,2016:Q2,205762
      Health care and social assistance,2016:Q2,1348672
"      Arts, entertainment, and recreation",2016:Q2,189339
      Accommodation and food services,2016:Q2,555552
      Other services (except government and government enterprises),2016:Q2,413024
  Government and government enterprises,2016:Q2,2281772
All industry total,2016:Q3,18614158
  Private industries,2016:Q3,16319437
"      Agriculture, forestry, fishing, and hunting",2016:Q3,175609
"      Mining, quarrying, and oil and gas extraction",2016:Q3,265217
      Utilities,2016:Q3,290893
      Construction,2016:Q3,794974
      Manufacturing,2016:Q3,2187037
          Durable goods manufacturing,2016:Q3,1181472
          Nondurable goods manufacturing,2016:Q3,1005565
      Wholesale trade,2016:Q3,1106168
      Retail trade,2016:Q3,1100374
      Transportation and warehousing,2016:Q3,563802
      Information,2016:Q3,903921
      Finance and insurance,2016:Q3,1434311
      Real estate and rental and leasing,2016:Q3,2486991
"      Professional, scientific, and technical services",2016:Q3,1332319
      Management of companies and enterprises,2016:Q3,361676
      Administrative and support and waste management and remediation services,2016:Q3,571656
      Educational services,2016:Q3,207652
      Health care and social assistance,2016:Q3,1360436
"      Arts, entertainment, and recreation",2016:Q3,194531
      Accommodation and food services,2016:Q3,563510
      Other services (except government and government enterprises),2016:Q3,418360
  Government and government enterprises,2016:Q3,2294722
All industry total,2016:Q4,18787774
  Private industries,2016:Q4,16489416
"      Agriculture, forestry, fishing, and hunting",2016:Q4,172160
"      Mining, quarrying, and oil and gas extraction",2016:Q4,287953
      Utilities,2016:Q4,292984
      Construction,2016:Q4,805630
      Manufacturing,2016:Q4,2194847
          Durable goods manufacturing,2016:Q4,1187159
          Nondurable goods manufacturing,2016:Q4,1007688
      Wholesale trade,2016:Q4,1112213
      Retail trade,2016:Q4,1106566
      Transportation and warehousing,2016:Q4,569461
      Information,2016:Q4,912748
      Finance and insurance,2016:Q4,1474051
      Real estate and rental and leasing,2016:Q4,2526208
"      Professional, scientific, and technical services",2016:Q4,1340720
      Management of companies and enterprises,2016:Q4,359520
      Administrative and support and waste management and remediation services,2016:Q4,575990
      Educational services,2016:Q4,208253
      Health care and social assistance,2016:Q4,1365015
"      Arts, entertainment, and recreation",2016:Q4,196115
      Accommodation and food services,2016:Q4,568352
      Other services (except government and government enterprises),2016:Q4,420628
  Government and government enterprises,2016:Q4,2298358
All industry total,2017:Q1,18934863
  Private industries,2017:Q1,16614453
"      Agriculture, forestry, fishing, and hunting",2017:Q1,179022
"      Mining, quarrying, and oil and gas extraction",2017:Q1,311079
      Utilities,2017:Q1,288993
      Construction,2017:Q1,815191
      Manufacturing,2017:Q1,2206255
          Durable goods manufacturing,2017:Q1,1196403
          Nondurable goods manufacturing,2017:Q1,1009852
      Wholesale trade,2017:Q1,1125420
      Retail trade,2017:Q1,1118282
      Transportation and warehousing,2017:Q1,576277
      Information,2017:Q1,913547
      Finance and insurance,2017:Q1,1437311
      Real estate and rental and leasing,2017:Q1,2550798
"      Professional, scientific, and technical services",2017:Q1,1351395
      Management of companies and enterprises,2017:Q1,364818
      Administrative and support and waste management and remediation services,2017:Q1,586960
      Educational services,2017:Q1,210675
      Health care and social assistance,2017:Q1,1384443
"      Arts, entertainment, and recreation",2017:Q1,196726
      Accommodation and food services,2017:Q1,572824
      Other services (except government and government enterprises),2017:Q1,424436
  Government and government enterprises,2017:Q1,2320410
All industry total,2017:Q2,19123619
  Private industries,2017:Q2,16792558
"      Agriculture, forestry, fishing, and hunting",2017:Q2,174483
"      Mining, quarrying, and oil and gas extraction",2017:Q2,321200
      Utilities,2017:Q2,296627
      Construction,2017:Q2,818560
      Manufacturing,2017:Q2,2218594
          Durable goods manufacturing,2017:Q2,1204845
          Nondurable goods manufacturing,2017:Q2,1013749
      Wholesale trade,2017:Q2,1143928
      Retail trade,2017:Q2,1132346
      Transportation and warehousing,2017:Q2,588180
      Information,2017:Q2,927808
      Finance and insurance,2017:Q2,1418643
      Real estate and rental and leasing,2017:Q2,2584162
"      Professional, scientific, and technical services",2017:Q2,1369898
      Management of companies and enterprises,2017:Q2,369195
      Administrative and support and waste management and remediation services,2017:Q2,602463
      Educational services,2017:Q2,210624
      Health care and social assistance,2017:Q2,1403459
"      Arts, entertainment, and recreation",2017:Q2,201458
      Accommodation and food services,2017:Q2,580725
      Other services (except government and government enterprises),2017:Q2,430206
  Government and government enterprises,2017:Q2,2331060
All industry total,2017:Q3,19371498
  Private industries,2017:Q3,17027498
"      Agriculture, forestry, fishing, and hunting",2017:Q3,171161
"      Mining, quarrying, and oil and gas extraction",2017:Q3,326009
      Utilities,2017:Q3,294280
      Construction,2017:Q3,827505
      Manufacturing,2017:Q3,2252046
          Durable goods manufacturing,2017:Q3,1224433
          Nondurable goods manufacturing,2017:Q3,1027613
      Wholesale trade,2017:Q3,1161924
      Retail trade,2017:Q3,1141347
      Transportation and warehousing,2017:Q3,591437
      Information,2017:Q3,941475
      Finance and insurance,2017:Q3,1478916
      Real estate and rental and leasing,2017:Q3,2613383
"      Professional, scientific, and technical services",2017:Q3,1381769
      Management of companies and enterprises,2017:Q3,372364
      Administrative and support and waste management and remediation services,2017:Q3,610847
      Educational services,2017:Q3,213463
      Health care and social assistance,2017:Q3,1424306
"      Arts, entertainment, and recreation",2017:Q3,203876
      Accommodation and food services,2017:Q3,585415
      Other services (except government and government enterprises),2017:Q3,435974
  Government and government enterprises,2017:Q3,2344000
All industry total,2017:Q4,19623421
  Private industries,2017:Q4,17269235
"      Agriculture, forestry, fishing, and hunting",2017:Q4,169114
"      Mining, quarrying, and oil and gas extraction",2017:Q4,361468
      Utilities,2017:Q4,300116
      Construction,2017:Q4,843328
      Manufacturing,2017:Q4,2300209
          Durable goods manufacturing,2017:Q4,1242756
          Nondurable goods manufacturing,2017:Q4,1057452
      Wholesale trade,2017:Q4,1183053
      Retail trade,2017:Q4,1156059
      Transportation and warehousing,2017:Q4,600246
      Information,2017:Q4,944674
      Finance and insurance,2017:Q4,1481078
      Real estate and rental and leasing,2017:Q4,2647153
"      Professional, scientific, and technical services",2017:Q4,1396381
      Management of companies and enterprises,2017:Q4,377809
      Administrative and support and waste management and remediation services,2017:Q4,617603
      Educational services,2017:Q4,214788
      Health care and social assistance,2017:Q4,1438260
"      Arts, entertainment, and recreation",2017:Q4,202781
      Accommodation and food services,2017:Q4,591878
      Other services (except government and government enterprises),2017:Q4,443237
  Government and government enterprises,2017:Q4,2354187
All industry total,2018:Q1,19828567
  Private industries,2018:Q1,17459099
"      Agriculture, forestry, fishing, and hunting",2018:Q1,170127
"      Mining, quarrying, and oil and gas extraction",2018:Q1,368707
      Utilities,2018:Q1,302980
      Construction,2018:Q1,859200
      Manufacturing,2018:Q1,2330239
          Durable goods manufacturing,2018:Q1,1255705
          Nondurable goods manufacturing,2018:Q1,1074535
      Wholesale trade,2018:Q1,1184779
      Retail trade,2018:Q1,1169063
      Transportation and warehousing,2018:Q1,607884
      Information,2018:Q1,955366
      Finance and insurance,2018:Q1,1506756
      Real estate and rental and leasing,2018:Q1,2678901
"      Professional, scientific, and technical services",2018:Q1,1408788
      Management of companies and enterprises,2018:Q1,380768
      Administrative and support and waste management and remediation services,2018:Q1,621705
      Educational services,2018:Q1,216637
      Health care and social assistance,2018:Q1,1453830
"      Arts, entertainment, and recreation",2018:Q1,202138
      Accommodation and food services,2018:Q1,599071
      Other services (except government and government enterprises),2018:Q1,442159
  Government and government enterprises,2018:Q1,2369467
