,Year,Period,Label,Observation Value
88,1955,M05,1955 May,4.2
89,1955,M06,1955 Jun,4.4
90,1955,M07,1955 Jul,4.0
91,1955,M08,1955 Aug,3.8
92,1955,M09,1955 Sep,3.5
93,1955,M10,1955 Oct,3.4
94,1955,M11,1955 Nov,3.8
95,1955,M12,1955 Dec,3.9
96,1956,M01,1956 Jan,4.7
97,1956,M02,1956 Feb,4.8
98,1956,M03,1956 Mar,4.7
99,1956,M04,1956 Apr,4.1
100,1956,M05,1956 May,4.2
101,1956,M06,1956 Jun,4.7
102,1956,M07,1956 Jul,4.4
103,1956,M08,1956 Aug,3.7
104,1956,M09,1956 Sep,3.4
105,1956,M10,1956 Oct,3.1
106,1956,M11,1956 Nov,3.9
107,1956,M12,1956 Dec,4.0
108,1957,M01,1957 Jan,4.9
109,1957,M02,1957 Feb,4.7
110,1957,M03,1957 Mar,4.3
111,1957,M04,1957 Apr,4.0
112,1957,M05,1957 May,3.9
113,1957,M06,1957 Jun,4.6
114,1957,M07,1957 Jul,4.1
115,1957,M08,1957 Aug,3.7
116,1957,M09,1957 Sep,3.7
117,1957,M10,1957 Oct,3.6
118,1957,M11,1957 Nov,4.6
119,1957,M12,1957 Dec,5.0
120,1958,M01,1958 Jan,6.8
121,1958,M02,1958 Feb,7.7
122,1958,M03,1958 Mar,7.7
123,1958,M04,1958 Apr,7.5
124,1958,M05,1958 May,7.1
125,1958,M06,1958 Jun,7.6
126,1958,M07,1958 Jul,7.4
127,1958,M08,1958 Aug,6.7
128,1958,M09,1958 Sep,6.0
129,1958,M10,1958 Oct,5.5
130,1958,M11,1958 Nov,5.6
131,1958,M12,1958 Dec,6.0
132,1959,M01,1959 Jan,7.0
133,1959,M02,1959 Feb,7.0
134,1959,M03,1959 Mar,6.4
135,1959,M04,1959 Apr,5.2
136,1959,M05,1959 May,4.9
137,1959,M06,1959 Jun,5.4
138,1959,M07,1959 Jul,5.2
139,1959,M08,1959 Aug,4.8
140,1959,M09,1959 Sep,4.7
141,1959,M10,1959 Oct,4.7
142,1959,M11,1959 Nov,5.3
143,1959,M12,1959 Dec,5.1
144,1960,M01,1960 Jan,6.1
145,1960,M02,1960 Feb,5.7
146,1960,M03,1960 Mar,6.1
147,1960,M04,1960 Apr,5.2
148,1960,M05,1960 May,4.8
149,1960,M06,1960 Jun,5.8
150,1960,M07,1960 Jul,5.5
151,1960,M08,1960 Aug,5.2
152,1960,M09,1960 Sep,4.7
153,1960,M10,1960 Oct,5.0
154,1960,M11,1960 Nov,5.6
155,1960,M12,1960 Dec,6.4
156,1961,M01,1961 Jan,7.7
157,1961,M02,1961 Feb,8.1
158,1961,M03,1961 Mar,7.7
159,1961,M04,1961 Apr,7.0
160,1961,M05,1961 May,6.6
161,1961,M06,1961 Jun,7.3
162,1961,M07,1961 Jul,6.9
163,1961,M08,1961 Aug,6.2
164,1961,M09,1961 Sep,5.8
165,1961,M10,1961 Oct,5.5
166,1961,M11,1961 Nov,5.6
167,1961,M12,1961 Dec,5.8
168,1962,M01,1962 Jan,6.7
169,1962,M02,1962 Feb,6.5
170,1962,M03,1962 Mar,6.2
171,1962,M04,1962 Apr,5.5
172,1962,M05,1962 May,5.1
173,1962,M06,1962 Jun,5.9
174,1962,M07,1962 Jul,5.3
175,1962,M08,1962 Aug,5.3
176,1962,M09,1962 Sep,4.9
177,1962,M10,1962 Oct,4.5
