,Year,Period,Label,Observation Value
738,2009,M07,2009 Jul,9.7
739,2009,M08,2009 Aug,9.6
740,2009,M09,2009 Sep,9.5
741,2009,M10,2009 Oct,9.5
742,2009,M11,2009 Nov,9.4
743,2009,M12,2009 Dec,9.7
744,2010,M01,2010 Jan,10.6
745,2010,M02,2010 Feb,10.4
746,2010,M03,2010 Mar,10.2
747,2010,M04,2010 Apr,9.5
748,2010,M05,2010 May,9.3
749,2010,M06,2010 Jun,9.6
750,2010,M07,2010 Jul,9.7
751,2010,M08,2010 Aug,9.5
752,2010,M09,2010 Sep,9.2
753,2010,M10,2010 Oct,9.0
754,2010,M11,2010 Nov,9.3
755,2010,M12,2010 Dec,9.1
756,2011,M01,2011 Jan,9.8
757,2011,M02,2011 Feb,9.5
758,2011,M03,2011 Mar,9.2
759,2011,M04,2011 Apr,8.7
760,2011,M05,2011 May,8.7
761,2011,M06,2011 Jun,9.3
762,2011,M07,2011 Jul,9.3
763,2011,M08,2011 Aug,9.1
764,2011,M09,2011 Sep,8.8
765,2011,M10,2011 Oct,8.5
766,2011,M11,2011 Nov,8.2
767,2011,M12,2011 Dec,8.3
768,2012,M01,2012 Jan,8.8
769,2012,M02,2012 Feb,8.7
770,2012,M03,2012 Mar,8.4
771,2012,M04,2012 Apr,7.7
772,2012,M05,2012 May,7.9
773,2012,M06,2012 Jun,8.4
774,2012,M07,2012 Jul,8.6
775,2012,M08,2012 Aug,8.2
776,2012,M09,2012 Sep,7.6
777,2012,M10,2012 Oct,7.5
778,2012,M11,2012 Nov,7.4
779,2012,M12,2012 Dec,7.6
780,2013,M01,2013 Jan,8.5
781,2013,M02,2013 Feb,8.1
782,2013,M03,2013 Mar,7.6
783,2013,M04,2013 Apr,7.1
784,2013,M05,2013 May,7.3
785,2013,M06,2013 Jun,7.8
786,2013,M07,2013 Jul,7.7
787,2013,M08,2013 Aug,7.3
788,2013,M09,2013 Sep,7.0
789,2013,M10,2013 Oct,7.0
790,2013,M11,2013 Nov,6.6
791,2013,M12,2013 Dec,6.5
792,2014,M01,2014 Jan,7.0
793,2014,M02,2014 Feb,7.0
794,2014,M03,2014 Mar,6.8
795,2014,M04,2014 Apr,5.9
796,2014,M05,2014 May,6.1
797,2014,M06,2014 Jun,6.3
798,2014,M07,2014 Jul,6.5
799,2014,M08,2014 Aug,6.3
800,2014,M09,2014 Sep,5.7
801,2014,M10,2014 Oct,5.5
802,2014,M11,2014 Nov,5.5
803,2014,M12,2014 Dec,5.4
804,2015,M01,2015 Jan,6.1
805,2015,M02,2015 Feb,5.8
806,2015,M03,2015 Mar,5.6
807,2015,M04,2015 Apr,5.1
808,2015,M05,2015 May,5.3
809,2015,M06,2015 Jun,5.5
810,2015,M07,2015 Jul,5.6
811,2015,M08,2015 Aug,5.2
812,2015,M09,2015 Sep,4.9
813,2015,M10,2015 Oct,4.8
814,2015,M11,2015 Nov,4.8
815,2015,M12,2015 Dec,4.8
816,2016,M01,2016 Jan,5.3
817,2016,M02,2016 Feb,5.2
818,2016,M03,2016 Mar,5.1
819,2016,M04,2016 Apr,4.7
820,2016,M05,2016 May,4.5
821,2016,M06,2016 Jun,5.1
822,2016,M07,2016 Jul,5.1
823,2016,M08,2016 Aug,5.0
824,2016,M09,2016 Sep,4.8
825,2016,M10,2016 Oct,4.7
826,2016,M11,2016 Nov,4.4
827,2016,M12,2016 Dec,4.5
828,2017,M01,2017 Jan,5.1
829,2017,M02,2017 Feb,4.9
830,2017,M03,2017 Mar,4.6
831,2017,M04,2017 Apr,4.1
832,2017,M05,2017 May,4.1
833,2017,M06,2017 Jun,4.5
834,2017,M07,2017 Jul,4.6
835,2017,M08,2017 Aug,4.5
836,2017,M09,2017 Sep,4.1
837,2017,M10,2017 Oct,3.9
838,2017,M11,2017 Nov,3.9
839,2017,M12,2017 Dec,3.9
840,2018,M01,2018 Jan,4.5
841,2018,M02,2018 Feb,4.4
842,2018,M03,2018 Mar,4.1
843,2018,M04,2018 Apr,3.7
844,2018,M05,2018 May,3.6
845,2018,M06,2018 Jun,4.2
846,2018,M07,2018 Jul,4.1
847,2018,M08,2018 Aug,3.9
848,2018,M09,2018 Sep,3.6
849,2018,M10,2018 Oct,3.5
